TagName;TagZahl;Monat;Titel;Personen;Ort;Land;EventHash;TimeAppoint;TimeSeen;TimeDeleted
Mon;20;Jan;Commissioner Kyriakides receives representatives of the European Organisation for Rare Diseases (Eurordis);Stella Kyriakides;NA;NA;dff574c796f152a01d14523eac83b6c23a032e72;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Johansson receives Mr Brad Smith, Microsoft President;Ylva Johansson;NA;NA;8682846663ab079a50826f5859e060e1fd4c547b;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Johansson receives Mr Lodewijk Asscher, Leader of the Dutch Labour Party (PvdA);Ylva Johansson;NA;NA;54488f5f2d37db75b63711e65cefa738bb2e71d5;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Johansson receives Ms Anne Linde, Minister of Foreign Affairs of Sweden;Ylva Johansson;NA;NA;e42a2fa37f0d1d529fc368bfdc95221145e9a679;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Olivér Várhelyi participates in the Foreign Affairs Council;Olivér Várhelyi;Brussels;Belgium;36e12f19b168d797989722226d584502ba9496f5;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Olivér Várhelyi receives Mr Tomáš Petříček, Minister for Foreign Affairs of Czechia;Olivér Várhelyi;NA;NA;dc31ce644575d10ddd390fa410a0cec97449f77a;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Olivér Várhelyi receives Ms Ekaterina Zaharieva, Deputy Prime Minister and Minister for Foreign Affairs of the Republic of Bulgaria.;Olivér Várhelyi;NA;NA;2d1b6571ec6646d9355632a5fa3379f8325f7242;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Olivér Várhelyi receives Ms Karoline Edtstadler, Federal Minister in the Federal Chancellery of Austria and Mr Alexander Schallenberg, Federal Minister for Europe, Integration and Foreign Affairs of Austria;Olivér Várhelyi;NA;NA;eb3163042e490ca740be48079e5a97050a114952;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Jutta Urpilainen receives Mr Antonio Rivas, Minister for Foreign Affairs of Kazakhstan;Jutta Urpilainen;NA;NA;5c4003996eeeb6d3e78a2b4251f88fdb3628d9c3;2020-01-20;1579474800;NA
Mon;20;Jan;Commissioner Jutta Urpilainen receives Mr Mukhtar Tleuberdi, Minister for Foreign Affairs of Paraguay;Jutta Urpilainen;NA;NA;92f0fc0e6e1678316dfbbcc8347b87e4ba1e532a;2020-01-20;1579474800;NA
Tue;21;Jan;Commissioner Simson receives Mr Jean-Bernard Lévy, CEO of EDF Group and Ms Marianne Laigneau, Group Senior Executive Vice-President;Kadri Simson;Brussels;Belgium;c27f099e65066c6fa486286f7811440888032f63;2020-01-21;1579561200;NA
Sun;26;Jan;Ms Vĕra Jourová in Poland: attends Dinner together with Survivors, organised by Auschwitz-Birkenau Memorial Foundation and World Jewish Congress ;Věra Jourová;Krakow;Poland;548e4e2dc0ecd8fcf845481ef3f6ed37de1531a4;2020-01-26;1579993200;NA
Mon;27;Jan;President Ursula von der Leyen receives Mr Filippo Grandi, United Nations High Commissioner for Refugees;Ursula von der Leyen;Brussels;Belgium;7533a264fba338c77e4ba7e60f4d9c9f3d6dd65b;2020-01-27;1580079600;NA
Mon;27;Jan;President Ursula von der Leyen receives Mr Olaf Scholz, Minister of Finance of Germany;Ursula von der Leyen;Brussels;Belgium;cf682f2074ad95315db247cb056f0b54e4471f69;2020-01-27;1580079600;NA
Mon;27;Jan;EVP Vestager  receives Mr Carlos Torres Vila, Chairman of BBVA bank ;Margrethe Vestager;Brussels;Belgium;5eaa21eabb4888d987fd4d289708a2098b0e6178;2020-01-27;1580079600;NA
Mon;27;Jan;EVP Vestager exchanges views with JURI Committee of the European Parliament, in Brussels;Margrethe Vestager;Brussels;Belgium;aecaea9e114e275d001ab617bd679bc0965de59a;2020-01-27;1580079600;NA
